Old Loadsheet Name,ItemCatagory,ItemNumber,Item,Quantity,AssetKind
MATERIALS,RESPIRATOR FILTERS,106,NORTH HEPA FILTER,EACH,
MATERIALS,RESPIRATOR FILTERS,107,NORTH ORGANIC FILTER,EACH,
MATERIALS,RESPIRATOR FILTERS,108,RESPIRATOR WIPES,BOX,
MATERIALS,RESPIRATOR FILTERS,110,3M 7093 HEPA - FILTER,EACH,
MATERIALS,RESPIRATOR FILTERS,111,3M 60923 OVAG HEPA-FILT,EACH,
MATERIALS,RESPIRATOR FILTERS,113,3M PAPR FILTER,EACH,
MATERIALS,RESPIRATOR FILTERS,114,3M PAPR ORGANIC,EACH,
MATERIALS,RESPIRATOR FILTERS,126,8511 DUST MASK (RESP),EACH,
MATERIALS,RESPIRATOR FILTERS,127,N Mercury Filter,EACH,
MATERIALS,RESPIRATOR FILTERS,128,3M Mercury Filter,EACH,
FLOORING ONLY,RESPIRATOR FILTERS,106,NORTH HEPA FILTER,EACH,
FLOORING ONLY,RESPIRATOR FILTERS,107,NORTH ORGANIC FILTER,EACH,
FLOORING ONLY,RESPIRATOR FILTERS,108,RESPIRATOR WIPES,BOX,
FLOORING ONLY,RESPIRATOR FILTERS,110,3M 7093 HEPA - FILTER,EACH,
FLOORING ONLY,RESPIRATOR FILTERS,111,3M 60923 OVAG HEPA FILTER,EACH,
FLOORING ONLY,RESPIRATOR FILTERS,126,8511 DUST MASK (RESP),EACH,
MATERIALS,RESPIRATOR FILTERS,129,3M HI EFF CARTRIDGE,EACH,
MATERIALS,"LUMBER, MISC MATERIALS",207,SPRAY PAINT,CAN,
MATERIALS,"LUMBER, MISC MATERIALS",208,CLASS (9) STICKERS,ROLL,
MATERIALS,"LUMBER, MISC MATERIALS",209,FIBERGLASS BATTING,ROLL,
MATERIALS,"LUMBER, MISC MATERIALS",210,SAWDUST,BAG,
MATERIALS,"LUMBER, MISC MATERIALS",211,CARDBOARD,ROLL,
MATERIALS,"LUMBER, MISC MATERIALS",212,2X4'S 8',EACH,
MATERIALS,"LUMBER, MISC MATERIALS",213,2X4'S 10',EACH,
MATERIALS,"LUMBER, MISC MATERIALS",214,2X4'S 12',EACH,
MATERIALS,"LUMBER, MISC MATERIALS",215,"PLYWOOD 1/2""",EACH,
MATERIALS,"LUMBER, MISC MATERIALS",216,"PLYWOOD 3/4""",EACH,
MATERIALS,"LUMBER, MISC MATERIALS",217,"HARD BOARD 1/4""",EACH,
MATERIALS,"LUMBER, MISC MATERIALS",218,LATH BUNDLES,EACH,
MATERIALS,"LUMBER, MISC MATERIALS",220,RUBBER ROOF MATERIAL,FOOT,
FLOORING ONLY,"LUMBER, MISC MATERIALS",315,GAYLORD BOXES,EACH,
FLOORING ONLY,"LUMBER, MISC MATERIALS",316,GAYLORD LINERS,EACH,
FLOORING ONLY,"LUMBER, MISC MATERIALS",317,GAYLORD PALLETS,EACH,
FLOORING ONLY,"LUMBER, MISC MATERIALS",329,FIBER DRUMS,EACH,
FLOORING ONLY,"LUMBER, MISC MATERIALS",331,STEEL DRUMS,EACH,
FLOORING ONLY,"LUMBER, MISC MATERIALS",333,10' FLEX DUCT 25',EACH,
FLOORING ONLY,"LUMBER, MISC MATERIALS",334,2' FLEX DUCT 25',EACH,
FLOORING ONLY,"LUMBER, MISC MATERIALS",335,POLY DUCT 500',FT,
FLOORING ONLY,"LUMBER, MISC MATERIALS",336,CLR NON-PRINT BAG (50),EA/BX,
FLOORING ONLY,"LUMBER, MISC MATERIALS",340,TACKY MAT,EACH,
FLOORING ONLY,"LUMBER, MISC MATERIALS",348,"48""X200' .006 FILM",ROLL,
FLOORING ONLY,"LUMBER, MISC MATERIALS",352,"48""X200' .004 FILM",ROLL,
FLOORING ONLY,"LUMBER, MISC MATERIALS",365,MF-24 FILME 24'X180,ROLL,
MATERIALS,"LUMBER, MISC MATERIALS",221,TAR PAPER,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,300,4 MIL BLACK,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,301,4 MIL WHITE POLY,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,302,8 X 200 1.6 MIL,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,303,4 MIL 8 X 100 CLEAR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,304,4 MIL 10 X 100 CLEAR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,305,4 MIL 12 X 100 CLEAR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,306,4 MIL 20 X 100 CLEAR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,307,6 MIL 8 X 100 CLEAR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,308,6 MIL 10 X 100 CLEAR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,309,6 MIL 12 X 100 CLEAR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,310,6 MIL 20 X 100 CLEAR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,356,6 MIL 40 X 100 CLEAR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,355,4 MIL 20 X 100 FR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,358,6 MIL 12 X 100 FR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,311, 6 MIL 20 X 100 FR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,360,20 X 100 ANTI STAT,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,312,20 X 100 REINFORCED,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,313,20 X 100 REIN/FIRE,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,314,40 X 100 REINFORCED,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,357,10 MIL 20' X 100' CLEAR,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,350,"12""X200' .004 FILM",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,351,"28""x200' .004 FILM",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,352,"48""X200' .004 FILM",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,353,BLADDER BAG - CTR HOLE,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,354,BLADDER BAG - 3 HOLE,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,315,GAYLORD BOXES,EACH,
