UnitID,TimeStamp,EquipmentBarcoding,ItemNumber,ItemName,ItemCategory,ItemCount,AssetTag,SerialNumber,AssetType,Manufacture,Model,EquipCondition,Cost,DatePurchased,OwnOrLeased
0,11/1/12 13:11,,12305,1000 WATT LIGHT,LIGHTS,EACH,M0000833,,Serialized,NA,,OK,,,Own
0,10/23/12 8:38,,12196,10' LADDER,LADDERS/SCAFFOLDING,EACH,M0000640,,Serialized,NA,,OK,,,Own
0,10/18/12 15:51,,12197,12' LADDER,LADDERS/SCAFFOLDING,EACH,M0000644,,Serialized,NA,NA,OK,,,Own
0,10/18/12 15:51,,12197,12' LADDER,LADDERS/SCAFFOLDING,EACH,M0000645,,Serialized,NA,NA,OK,,,Own
0,10/24/12 13:48,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000786,,Serialized,NA,,OK,,,Own
0,10/24/12 13:47,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000785,,Serialized,NA,,OK,,,Own
0,10/18/12 15:50,,12197,12' LADDER,LADDERS/SCAFFOLDING,EACH,M0000643,,Serialized,NA,NA,OK,,,Own
0,11/1/12 13:11,,12305,1000 WATT LIGHT,LIGHTS,EACH,M0000838,,Serialized,NA,,OK,,,Own
0,11/13/12 14:20,,12196,10' LADDER,LADDERS/SCAFFOLDING,EACH,M0000165,,Serialized,NA,,OK,,,Own
0,11/1/12 13:12,,12305,1000 WATT LIGHT,LIGHTS,EACH,M0000831,,Serialized,NA,,OK,,,Own
0,10/22/12 13:59,,12197,12' LADDER,LADDERS/SCAFFOLDING,EACH,M0000170,,Serialized,NA,,OK,,,Own
0,10/22/12 13:59,,12196,10' LADDER,LADDERS/SCAFFOLDING,EACH,M0000034,,Serialized,NA,,OK,,,Own
0,10/22/12 14:03,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000763,,Serialized,NA,,OK,,,Own
0,10/22/12 14:03,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000764,,Serialized,NA,,OK,,,Own
0,10/23/12 8:37,,12196,10' LADDER,LADDERS/SCAFFOLDING,EACH,M0000039,,Serialized,NA,,OK,,,Own
0,11/1/12 13:11,,12305,1000 WATT LIGHT,LIGHTS,EACH,M0000819,,Serialized,NA,,OK,,,Own
0,11/20/12 9:13,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000558,,Serialized,NA,,OK,,,Own
0,12/4/12 9:49,,12196,10' LADDER,LADDERS/SCAFFOLDING,EACH,M0000375,,Serialized,NA,,OK,,,Own
0,10/23/12 10:58,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000984,,Serialized,NA,,OK,,,Own
0,11/27/12 10:19,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000419,,Serialized,NA,,OK,,,Own
0,11/27/12 11:06,,12197,12' LADDER,LADDERS/SCAFFOLDING,EACH,M0000392,,Serialized,NA,,OK,,,Own
0,11/27/12 11:06,,12197,12' LADDER,LADDERS/SCAFFOLDING,EACH,M0000447,,Serialized,NA,,OK,,,Own
0,10/18/12 15:50,,12197,12' LADDER,LADDERS/SCAFFOLDING,EACH,M0000010,,Serialized,NA,NA,OK,,,Own
0,11/19/12 14:55,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000422,,Serialized,NA,,OK,,,Own
0,10/18/12 15:50,,12197,12' LADDER,LADDERS/SCAFFOLDING,EACH,M0000040,,Serialized,NA,NA,OK,,,Own
0,11/13/12 15:24,,12196,10' LADDER,LADDERS/SCAFFOLDING,EACH,M0000641,,Serialized,NA,,OK,,,Own
0,11/13/12 14:07,,12196,10' LADDER,LADDERS/SCAFFOLDING,EACH,M0000642,,Serialized,NA,,OK,,,Own
0,11/13/12 14:07,,12196,10' LADDER,LADDERS/SCAFFOLDING,EACH,M0000029,,Serialized,NA,,OK,,,Own
0,11/13/12 14:08,,12196,10' LADDER,LADDERS/SCAFFOLDING,EACH,M0000031,,Serialized,NA,,OK,,,Own
0,11/13/12 14:10,,12197,12' LADDER,LADDERS/SCAFFOLDING,EACH,M0000041,,Serialized,NA,,OK,,,Own
0,11/13/12 14:11,,12197,12' LADDER,LADDERS/SCAFFOLDING,EACH,M0000166,,Serialized,NA,,OK,,,Own
0,11/20/12 14:16,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000552,,Serialized,NA,,OK,,,Own
0,10/31/12 8:42,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000905,,Serialized,NA,,OK,,,Own
0,10/18/12 15:49,,12196,10' LADDER,LADDERS/SCAFFOLDING,EACH,M0000638,,Serialized,NA,NA,OK,,,Own
0,10/31/12 18:01,,12440,2 SHELF CART,MATERIAL HANDLING,EACH,M0000890,,Serialized,NA,NA,OK,,,Own
0,10/22/12 10:59,,12269,SAWZALL,POWER TOOLS,EACH,000251,,Serialized,NA,,OK,,,Own
0,11/2/12 9:37,,12140,AIRLESS,AIRLESS EQUIPMENT,EACH,M0000852,000022,Serialized,NA,Titan 660,OK,,,Own
0,10/30/12 13:48,,12195,8' LADDER,LADDERS/SCAFFOLDING,EACH,M0000920,,Serialized,NA,,OK,,,Own
0,10/30/12 13:48,,12195,8' LADDER,LADDERS/SCAFFOLDING,EACH,M0000878,,Serialized,NA,,OK,,,Own
0,10/30/12 13:49,,12195,8' LADDER,LADDERS/SCAFFOLDING,EACH,M0000915,,Serialized,NA,,OK,,,Own
0,10/30/12 13:49,,12194,6' LADDER,LADDERS/SCAFFOLDING,EACH,M0000807,,Serialized,NA,,OK,,,Own
0,10/30/12 13:49,,12194,6' LADDER,LADDERS/SCAFFOLDING,EACH,M0000879,,Serialized,NA,,OK,,,Own
0,10/30/12 13:49,,12194,6' LADDER,LADDERS/SCAFFOLDING,EACH,M0000924,,Serialized,NA,,OK,,,Own
0,10/30/12 13:49,,12194,6' LADDER,LADDERS/SCAFFOLDING,EACH,M0000926,,Serialized,NA,,OK,,,Own
0,10/30/12 13:49,,12194,6' LADDER,LADDERS/SCAFFOLDING,EACH,M0000925,,Serialized,NA,,OK,,,Own
0,10/30/12 13:50,,12110,LARGE HEPA 2000,HEPA'S / VACUUMS,EACH,M0000930,0145,Serialized,Aerospace,ACM,OK,,,Own
0,11/2/12 9:34,,12093,WATER HEATER,DECON EQUIPMENT,EACH,000564,,Serialized,NA,,OK,,,Own
0,10/30/12 13:50,,12110,LARGE HEPA 2000,HEPA'S / VACUUMS,EACH,M0000929,000378,Serialized,Aerospace,ACM,OK,,,Own
0,10/30/12 13:50,,12110,LARGE HEPA 2000,HEPA'S / VACUUMS,EACH,M0000922,000020,Serialized,Aerospace,ACM,OK,,,Own
0,10/30/12 13:50,,12110,LARGE HEPA 2000,HEPA'S / VACUUMS,EACH,M0000928,000055,Serialized,Aerospace,ACM,OK,,,Own
0,10/30/12 13:50,,12110,LARGE HEPA 2000,HEPA'S / VACUUMS,EACH,M0000951,,Serialized,NA,ACM,OK,,,Own
0,10/30/12 13:51,,12110,LARGE HEPA 2000,HEPA'S / VACUUMS,EACH,M0000927,000366,Serialized,Aerospace,ACM,OK,,,Own
0,10/30/12 13:51,,12111,SMALL HEPA JR,HEPA'S / VACUUMS,EACH,M0000110,000319,Serialized,Aerospace,ACM,OK,,,Own
0,10/30/12 14:25,,12443,FOUR WHEEL FLAT CART,MATERIAL HANDLING,EACH,M0000950,,Serialized,NA,,OK,,,Own
0,10/24/12 11:23,,000534,GRINDER,POWER TOOLS,EACH,000533,,Serialized,NA,,OK,,,Own
0,10/24/12 11:23,,000534,GRINDER,POWER TOOLS,EACH,000531,,Serialized,NA,,OK,,,Own
0,10/24/12 11:24,,000534,GRINDER,POWER TOOLS,EACH,000528,,Serialized,NA,,OK,,,Own
0,10/30/12 13:50,,12111,SMALL HEPA JR,HEPA'S / VACUUMS,EACH,M0000931,317703,Serialized,Aerospace,ACM,OK,,,Own
0,11/2/12 10:41,,12161,PRESSURE WASHER 220,PRESSURE WASHERS,EACH,M0000909,N215K17FB1D,Serialized,Dirt Killer,,OK,,,Own
0,11/13/12 15:13,,12114,LARGE VACUUM,HEPA'S / VACUUMS,EACH,M0000529,000253,Serialized,Mastercraft,ACM,OK,,,Own
0,11/13/12 15:13,,12114,LARGE VACUUM,HEPA'S / VACUUMS,EACH,M0000530,000021,Serialized,Mastercraft,ACM,OK,,,Own
0,11/13/12 15:21,,12194,6' LADDER,LADDERS/SCAFFOLDING,EACH,M0000350,,Serialized,NA,,OK,,,Own
0,11/13/12 15:22,,12195,8' LADDER,LADDERS/SCAFFOLDING,EACH,M0000026,,Serialized,NA,,OK,,,Own
0,11/13/12 15:23,,12195,8' LADDER,LADDERS/SCAFFOLDING,EACH,M0000205,,Serialized,NA,,OK,,,Own
0,10/23/12 9:32,,12389,FOREMAN'S GANG BOX,EQUIPMENT/MATERIALS,EACH,M0000774,,Serialized,NA,Open,OK,,,Own
0,11/13/12 15:27,,12194,6' LADDER,LADDERS/SCAFFOLDING,EACH,M0000528,,Serialized,NA,,OK,,,Own
0,11/2/12 10:15,,12271,DEMO HAMMER,POWER TOOLS,EACH,000175,,Serialized,NA,,OK,,,Own
